airline_id	compagnie	canal	disponibilite_actuelle	ensemble	url_officielle_candidate	fait_exact_a_etablir	rule_id
airline_air_serbia	Air Serbia	cargo	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	
airline_aircalin	Aircalin	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_bangkok_airways	Bangkok Airways	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_batik_air_indonesia	Batik Air Indonesia	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_batik_air_indonesia	Batik Air Indonesia	cargo	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	
airline_batik_air_malaysia	Batik Air Malaysia	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_batik_air_malaysia	Batik Air Malaysia	cargo	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	
airline_gulf_air	Gulf Air	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_gulf_air	Gulf Air	hold	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	
airline_ita_airways	ITA Airways	cargo	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	
airline_kenya_airways	Kenya Airways	cabin	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cabin — phrase de refus, sans condition de route, de poids ni de saison.	
airline_kenya_airways	Kenya Airways	hold	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en hold — phrase de refus, sans condition de route, de poids ni de saison.	
airline_pegasus	Pegasus Airlines	cargo	not_offered	A — orphelin (aucune règle sur ce canal)		La compagnie n'accepte AUCUN chien en cargo — phrase de refus, sans condition de route, de poids ni de saison.	
