compagnie;nom;canal;etat_finder_actuel;ancienne_information_disponible;url_officielle;fait_officiel_trouve;preuve_raccordee;tarif_trouve;tarif_raccorde;classe_pre_lecture;categorie_inventaire;action
"airline_aegean";"Aegean Airlines";"cabin";"accepted_with_conditions";"éditorial « Allowed » — One cat or dog ≤ 8 kg incl. carrier in an approved carrier under the seat; window seat, not first row/exit. Not when travelling with an infa | plafond hérité 8 kg (chien + contenant)";"https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/";"« The maximum permitted weight for a pet, combined with its container, is eight (8) kilos. » (Pets in cabin, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin: €35 domestic / €65 intl";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aegean";"Aegean Airlines";"hold";"accepted_with_conditions";"éditorial « Allowed » — Cats & dogs only (medium 8–25 kg / large > 25 kg) in the hold of A320/A321/ATR; not for connections over 3 h. Snub-nosed breeds barred. | brachycéphales refusés (hérité)";"https://en.aegeanair.com/travel-info/travelling-with-aegean/special-assistance/traveling-with-pet/";"« If you have a larger cat or dog which exceeds the eight (8) kilos weight limit (including its container), then it should only be transported in the baggage hold compartment of the aircraft. » (Animals in aircraft hold, en, lu le 2026-09-08)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold — medium (8–25 kg): €50–120 | fareList : Hold — large (> 25 kg): €90–190";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aegean";"Aegean Airlines";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via cargo » — Unaccompanied pets, crates over 105 × 75 × 79 cm, or cats/dogs to the UK.";"https://en.aegeanair.com/";"À LIRE (Codex)";"non";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_aer_lingus";"Aer Lingus";"cabin";"denied";"éditorial « Not allowed » — No pets in the cabin — only trained service dogs. Emotional-support animals refused.";"https://www.aerlingus.com/localized/en/modals/baggage-information.html";"« Pets must be booked to travel with a pet agent, and they will be carried in the aircraft hold. » (Baggage Information → General Animals & Pets Rules, en, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin / hold: Not carried | fareList : Service dog (cabin): Free";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aer_lingus";"Aer Lingus";"hold";"accepted_with_conditions";"éditorial « Not allowed » — Pets aren't accepted as checked baggage — a pet brought to check-in won't be accepted. | conditions héritées : Pets must be booked through a pet agent and travel in the aircraft hold, subject to the operating airline, aircraft and ";"https://www.aerlingus.com/localized/en/modals/baggage-information.html";"« Pets must be booked to travel with a pet agent, and they will be carried in the aircraft hold. » (Baggage Information → General Animals & Pets Rules, en, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin / hold: Not carried";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aer_lingus";"Aer Lingus";"cargo";"confirmation_required (legacy_unreviewed)";"éditorial « Via agent » — Cats & dogs travel via IAG Cargo (pet agent) in a temperature-controlled hold. Not on Aer Lingus Regional (Emerald).";"https://www.aerlingus.com";"À LIRE (Codex)";"non";"hérité (inventaire, non prouvé) : fareList : IAG Cargo (via pet agent): Quote";"non — aucun tarif n'atteint le Finder aujourd'hui";"ancienne information présente, non raccordée (piste)";"C";"lire la page officielle actuelle (Codex) : citation, locator, langue, date → import"
"airline_aerolineas_argentinas";"Aerolíneas Argentinas";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Dogs and cats from 12 weeks, 9 kg carrier included, one animal per passenger and per carrier. Soft carrier compulsory since 1 April 2024, ma | plafond hérité 9 kg (chien + contenant)";"https://portalar.aerolineas.com.ar/campus/pluginfile.php/9597/mod_resource/content/2/resumen_obligaciones.pdf";"« Se puede transportar solamente un perro o gato, de máx. 9 kilos en el contenedor correspondiente. » (ANIMALES EN LA CABINA — page 4, es, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin — domestic: ARS 54,450 | fareList : Cabin — South America: USD 150 | fareList : Cabin — United States: USD 200 | fareList : Cabin — Europe: USD 250 / EUR 200";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aerolineas_argentinas";"Aerolíneas Argentinas";"hold";"accepted_with_conditions";"éditorial « Allowed » — Dogs and cats from 12 weeks. No weight limit on the animal — the crate governs, up to 100 × 70 × 80 cm, rigid with a metal door and no wheel | brachycéphales refusés (hérité)";"https://portalar.aerolineas.com.ar/campus/pluginfile.php/9597/mod_resource/content/2/resumen_obligaciones.pdf";"« se trasporta en bodega » (ANIMALES EN LA CABINA — page 4, es, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Hold — domestic (small crate): ARS 229,900 | fareList : Hold — South America: USD 330 | fareList : Hold — Europe (crate ≤ 80 × 55 × 60 cm): USD 499 / EUR 419 | fareList : Hold — Europe (large crate): USD 1,149 / EUR 969";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
"airline_aerolineas_argentinas";"Aerolíneas Argentinas";"cargo";"accepted_with_conditions";"éditorial « Via cargo » — The only route for flat-faced breeds (barred from the hold but accepted in cargo) and for the eighteen breeds listed as dangerous, which mus";"https://cargo.aerolineas.com.ar/es-AR/envios_personales";"« Aerolineas Cargo ofrece transporte de mascotas y otros animales vivos a todos nuestros destinos. » (ANIMALES VIVOS → INFORMACIÓN GENERAL, es, lu le 2026-09-09)";"oui";"À LIRE (Codex)";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"relire la page pour un tarif officiel (Codex)"
"airline_aeromexico";"Aeromexico";"cabin";"accepted_with_conditions";"éditorial « Allowed » — Dogs & cats only, ≤ 9 kg incl. carrier under the seat; one per passenger; window/non-bulkhead. Snub-nosed breeds allowed here. | plafond hérité 9 kg (chien + contenant)";"https://beta.aeromexico.com/es-mx/informacion-de-vuelos/transporte-aereo-de-mascotas";"« Mascota bajo el asiento (PETC) / Pet with you | Perros, Gatos | Sin límite de tiempo (cumpliendo requisitos de cada país) | Cabina | Hasta 9 kg (Incluyendo transportadora) » (Servicios de Mascotas → Tipos de servicios para viajar con tu mascota, es, lu le 2026-09-09)";"oui";"hérité (inventaire, non prouvé) : fareList : Cabin (≤ 9 kg): $182–189 / segment";"non — aucun tarif n'atteint le Finder aujourd'hui";"décision du Finder déjà correcte (citée)";"A";"tarif hérité présent, masqué : contre-vérifier sur la page officielle (Codex), puis raccorder"
