airline_id	channel	service_status	tariff_nature	tariff_value	currency	billing_subject	journey_basis	scope_origin	scope_destination	booking_deadline	official_url	locator	quote_verbatim	page_date_visible	verified_date	old_yaml_fee	old_farelist_rows	policy_tariff_source	finder_price_link	note
china_southern	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.csair.com/newh5/en/tourguide/luggage_service/special_baggage/pets/	Cabin rules	Only service dogs	—	2026-09-10	—	5	ABSENTE	NON	Chiens d’assistance exceptés
china_southern	soute	ACCEPTE	GRILLE	2–8 kg: 1380 RMB/200 USD/190 EUR; >8–23: 2100/300/280; >23–32: 3500/500/470	RMB|USD|EUR	animal+contenant+nourriture	par transport enregistré; unité trajet non explicitée	international	international	≥72 h; présentation ≥90 min	https://www.csair.com/newh5/en/tourguide/luggage_service/special_baggage/pets/	International pet transport	USD 200 / EUR 190	Tarifs bagages indiqués effectifs 2019	2026-09-10	$200–500	5	ABSENTE	NON	Domestique sur formule excédent bagage
china_southern	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi cargo	—	—	—	NON_TROUVE	https://www.csair.com/newh5/en/tourguide/luggage_service/special_baggage/pets/	Oversize/cargo referral	contact cargo	—	2026-09-10	Quote	5	ABSENTE	NON	Aucun barème cargo public établi
condor	cabine	ACCEPTE	GRILLE	Zone 1 59.99; zones 2/6 74.99; zones 3/4/5/7 99.99; aéroport 120/135/160	EUR	animal+contenant	aller simple	zones Condor	zones Condor	≥48 h	https://www.condor.com/de/flug-vorbereiten/gepaeck-tiere/tierbefoerderung/tiere-in-der-kabine.jsp	Prices and registration	ab 59,99 Euro	—	2026-09-10	€59.99–99.99	4	ABSENTE	NON	Maximum 8 kg avec sac
condor	soute	ACCEPTE	GRILLE	79.99–254.99 selon zone et taille	EUR|USD|CAD	animal+contenant	aller simple	zones Condor	zones Condor	≥48 h	https://www.condor.com/eu/flight-preparation/baggage-and-animals/travelling-with-pets/pets-in-cargo-hold.jsp	Pet transport fees	from €79.99	—	2026-09-10	€79.99–254.99	4	ABSENTE	NON	Petite/grande caisse et marché de départ
condor	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	—	https://www.condor.com/eu/flight-preparation/baggage-and-animals/travelling-with-pets/pets-in-cargo-hold.jsp	No separate cargo tariff	cargo hold	—	2026-09-10	—	4	ABSENTE	NON	Ne pas confondre soute accompagnée et fret
copa	cabine	ACCEPTE	GRILLE	25 domestique Panama; 125 international; taxes en plus	USD	animal+contenant	unité segment/sens non explicitée	Panama ou international	Panama ou international	≥48 h	https://www.copaair.com/assets/ENG-COM-24-001-Update-Service-or-Emotional-Support-Dog-and-Pet-in-Cabin-Transportation-Policy.pdf	Pet in cabin fee	USD 125 plus taxes	Politique applicable voyages dès 2024-02-01	2026-09-10	$125 intl / $25 dom	4	ABSENTE	NON	Ne pas déduire par segment
copa	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.copaair.com/assets/ENG-COM-24-001-Update-Service-or-Emotional-Support-Dog-and-Pet-in-Cabin-Transportation-Policy.pdf	Checked baggage exclusion	not accepted as baggage	Politique applicable voyages dès 2024-02-01	2026-09-10	—	4	ABSENTE	NON	Cargo séparé
copa	fret	ACCEPTE	DEVIS	Sur devis	—	envoi cargo	par AWB/devis	—	—	Selon cargo	https://www.copaair.com/en/web/gs/copa-cargo	Cargo	Copa Cargo	—	2026-09-10	Quote	4	ABSENTE	NON	Aucun montant public établi
corsair	cabine	ACCEPTE	GRILLE	75 Paris–FDF/PTP/Mayotte/Réunion; 150 Paris–Abidjan	EUR	animal+contenant	par trajet	Paris	destinations listées	prévenir à l’avance	https://www.flycorsair.com/en/information/before-flight/transport-animal	Cabin fares	€75 per journey	2026-06-22	2026-09-10	€75–150	5	ABSENTE	NON	Portée directionnelle à respecter
corsair	soute	ACCEPTE	GRILLE	150 Paris–FDF/PTP/Mayotte/Réunion; 300 Paris–Maurice/Abidjan	EUR	animal+contenant	par trajet	Paris	destinations listées	prévenir à l’avance	https://www.flycorsair.com/en/information/before-flight/transport-animal	Hold fares	€300 per journey	2026-06-22	2026-09-10	€150–300	5	ABSENTE	NON	Paris vers Maurice interdit en soute
corsair	fret	CONDITIONNEL	DEVIS	Sur devis	—	envoi spécialisé	—	—	—	Selon dossier	https://www.flycorsair.com/en/information/before-flight/transport-animal	Special animal transport	contact our cargo service	2026-06-22	2026-09-10	Quote	5	ABSENTE	NON	Cas spécialisés/protégés
croatia_airlines	cabine	ACCEPTE	NON_TROUVE	—	—	animal+contenant	—	—	—	autorisation préalable	https://www.croatiaairlines.com/Baggage/Animals	Animals in cabin	pets in passenger cabin	—	2026-09-10	€32 domestic / €50 Europe / €70 outside	0	ABSENTE	NON	Page officielle actuelle sans barème extractible; ancien montant non daté
croatia_airlines	soute	ACCEPTE	NON_TROUVE	—	—	animal+contenant	—	—	—	autorisation préalable	https://www.croatiaairlines.com/Baggage/Animals	Animals in hold	transport in cargo hold	—	2026-09-10	€40–56 domestic / €100–200 Europe / €150–300 outside	0	ABSENTE	NON	Ancienne grille EMD insuffisante comme preuve 2026
croatia_airlines	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	—	https://www.croatiaairlines.com/Baggage/Animals	Cargo information	contact the airline	—	2026-09-10	Not published	0	ABSENTE	NON	Aucun tarif public actuel établi
delta	cabine	ACCEPTE	GRILLE	150 US/Canada/PR/USVI; 200 international et Brésil	USD|CAD|EUR	animal+contenant	par sens	zones publiées	zones publiées	réserver dès que possible; paiement check-in	https://www.delta.com/us/en/pet-travel/overview	In-Cabin Pet Fees	$150 USD/CAD	Billets émis depuis 2025-04-08	2026-09-10	$95–200	4	ABSENTE	NON	95 historique seulement avant le 8 avril 2025
delta	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.delta.com/us/en/special-circumstances/military-travel/pets	Military pet travel	active U.S. military	—	2026-09-10	$200	4	ABSENTE	NON	200 USD réservé aux mutations militaires/diplomatiques éligibles
delta	fret	CONDITIONNEL	NON_TROUVE	—	—	animal éligible spécialisé	—	—	—	réservation ≤14 j avant; remise 2.5 h/4 h	https://www.delta.com/us/en/pet-travel/shipping-your-pet	Shipping your pet	Pet shipping is limited	—	2026-09-10	—	4	ABSENTE	NON	Pas de service général public courant
easyjet	cabine	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.easyjet.com/en/help-centre/policy-terms-and-conditions/terms-and-conditions	Animals	We do not carry animals	—	2026-09-10	—	2	ABSENTE	NON	Chiens d’assistance reconnus exceptés
easyjet	soute	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.easyjet.com/en/help-centre/policy-terms-and-conditions/terms-and-conditions	Animals	We do not carry animals	—	2026-09-10	—	2	ABSENTE	NON	Aucun service ordinaire
easyjet	fret	NON_PROPOSE	SANS_OBJET	—	—	animal ordinaire	—	—	—	—	https://www.easyjet.com/en/help-centre/policy-terms-and-conditions/terms-and-conditions	Animals	We do not carry animals	—	2026-09-10	—	2	ABSENTE	NON	Aucun service ordinaire
edelweiss	cabine	ACCEPTE	GRILLE	Europe 90; Levant/Égypte 105; intercontinental 115/130/140	CHF	animal+contenant	par tronçon	zones tarifaires	zones tarifaires	≤4 jours ouvrés	https://www.flyedelweiss.com/at/en/prepare/flight-preparation/animals-travelling/registration-and-charges.html	Charges for transporting animals → Dogs and cats in cabin → Europe	CHF 90 / EUR 80 / GBP 85 / USD 95 / CAD 110	Depuis 2025-12-01	2026-09-10	CHF90–140	0	ABSENTE	NON	Tables EUR/GBP/USD/CAD aussi publiées
edelweiss	soute	ACCEPTE	GRILLE	Petite caisse 115–220; grandes 230–440	CHF	animal+contenant	par tronçon	zones tarifaires	zones tarifaires	≤4 jours ouvrés	https://www.flyedelweiss.com/at/en/prepare/flight-preparation/animals-travelling/registration-and-charges.html	Hold table	CHF 220 / CHF 440	Depuis 2025-12-01	2026-09-10	CHF90–220	0	ABSENTE	NON	Ancienne borne max 220 manque la grande caisse long-courrier
edelweiss	fret	NON_ETABLI	NON_TROUVE	—	—	—	—	—	—	contacter cargo	https://www.flyedelweiss.com/at/en/prepare/flight-preparation/animals-travelling/registration-and-charges.html	Cargo referral	contact the freight department	Depuis 2025-12-01	2026-09-10	Not published	0	ABSENTE	NON	Aucun barème distinct public
egyptair	cabine	ACCEPTE	FORMULE	≤23 kg: 100% d’une unité excédent; Canada/USA 150%	devise du barème bagage	animal+contenant	par direction	international	international	≥48 h	https://www.egyptair.com/en/fly/special-services/Pages/traveling-with-pets.aspx	Charges	one direction only	—	2026-09-10	By route	4	ABSENTE	NON	Page anglaise omet les multiplicateurs; page officielle localisée les donne
