airline_id	channel	service_status	fare_nature	amount	currency	structured_scope_origin_destination_region	billing_subject_and_journey_basis	booking_deadline	official_url	locator	quote_le_25_mots	page_date_visible	verified_date	yaml_legacy	policies_finder_wiring	assessment
luxair	cabin	OFFERED	EXACT	70; Business free	EUR	Luxair network	per flight	NON_TROUVE	https://www.luxair.lu/sites/default/files/LG-LGIT-structure-fare_ENG.pdf	Fare structure PDF, pets	Pet in cabin: EUR 70 per flight	2025-10-08	2026-09-10	fee EUR70; Business free	NON — legacy fee/fareList not projected into policies/Finder	MATCH
luxair	hold	OFFERED	EXACT	140	EUR	Luxair network	per flight	NON_TROUVE	https://www.luxair.lu/sites/default/files/LG-LGIT-structure-fare_ENG.pdf	Fare structure PDF, pets	Pet in hold: EUR 140 per flight	2025-10-08	2026-09-10	fee EUR140	NON — legacy fee/fareList not projected into policies/Finder	MATCH
luxair	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.luxair.lu/sites/default/files/LG-LGIT-structure-fare_ENG.pdf	No dog-cargo tariff found	Pet in hold: EUR 140 per flight	2025-10-08	2026-09-10	cargo quote/editorial	NON	No separate current dog-cargo fare established
malaysia_airlines	cabin	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.malaysiaairlines.com/content/dam/mh/my/en/pdf-file/2024-12-28-General-Conditions-of-Carriage-Malaysia-Airlines.pdf	General Conditions, animals	We may refuse to carry animals	2024-12-28	2026-09-10	denied editorial	NON	Current official material reviewed does not establish ordinary-dog cabin service
malaysia_airlines	hold	OFFERED	FORMULA	15–78 per kg; 280 per piece on piece routes	USD	Weight zones; Africa/Americas piece concept	pet+container; per kg or piece	Advance permission; exact deadline not found	https://www.malaysiaairlines.com/hk/zh_hk/travel-info/baggage/extra-baggage.html	Extra baggage rates, rate table immediately after formula	Charges are applied per kilogram. For routes to Africa or the Americas, charges are based on the piece concept.	NON_VISIBLE	2026-09-10	extra-baggage editorial	NON	NEEDS_QUOTE for numeric endpoints 15–78/280: current HTML exposes the formula but not the rate cells
malaysia_airlines	cargo	OFFERED	SUR_DEVIS			MASkargo network	shipment	Contact cargo	https://www.maskargo.com/content/mk/en/products-and-services/products/mk-live.html	MK Live product	Live animals require special handling	NON_VISIBLE	2026-09-10	quote	NON	Service established; no public exact fare
neos	cabin	OFFERED	EXACT	100	EUR	All eligible Neos routes	per animal; one-way	No later than 48h	https://www.neosair.com/en/information/traveling-with-pets	Travelling with pets, cabin	The cost is €100 each way	NON_VISIBLE	2026-09-10	EUR100	NON	MATCH
neos	hold	OFFERED	EXACT	200	EUR	All eligible Neos routes	per animal; one-way	No later than 48h	https://www.neosair.com/en/information/traveling-with-pets	Travelling with pets, hold	The cost is €200 each way	NON_VISIBLE	2026-09-10	EUR200	NON	MATCH
neos	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.neosair.com/en/information/traveling-with-pets	No separate cargo tariff	The cost is €200 each way	NON_VISIBLE	2026-09-10	quote/editorial	NON	No separate dog-cargo offer established
norwegian	cabin	OFFERED	RANGE	55–75 online; 60–85 airport	EUR	Eligible Norwegian routes	per animal; one-way	Book early; capacity limited	https://www.norwegian.com/fr/infos-voyageurs/baggage/voyager-avec-des-animaux/	Animaux en cabine	55–75 EUR en ligne	NON_VISIBLE	2026-09-10	EUR55–85	NON	MATCH but legacy loses sales-channel split
norwegian	hold	OFFERED	RANGE	150–180 online; 170–200 airport	EUR	Eligible Norwegian routes	per animal; one-way	Book early; capacity limited	https://www.norwegian.com/fr/infos-voyageurs/baggage/voyager-avec-des-animaux/	Animaux en soute	150–180 EUR en ligne	NON_VISIBLE	2026-09-10	EUR150–200	NON	MATCH but legacy loses sales-channel split
norwegian	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.norwegian.com/fr/infos-voyageurs/baggage/voyager-avec-des-animaux/	No cargo fare found	Réservez le transport de votre animal	NON_VISIBLE	2026-09-10	none/quote	NON	NON_TROUVE
pegasus	cabin	OFFERED	EXACT	750 domestic; 900 Northern Cyprus; 65 international	TRY; EUR	Domestic Turkey; Northern Cyprus; international	per animal/service	Call centre; exact deadline not found	https://www.flypgs.com/fr/informations-utiles/autres-informations/tarifs-des-services-complementaires	Pet transportation fees	International flights: 65 EUR	NON_VISIBLE	2026-09-10	matching matrix	NON	MATCH
pegasus	hold	RESTRICTED	EXACT	850/950 domestic; 1000/1100 Northern Cyprus	TRY	Only domestic Turkey and Northern Cyprus; international not allowed	per animal by 8–15kg or >15kg	Call centre; exact deadline not found	https://www.flypgs.com/en/useful-info/other-info/extra-services-price-table%20	Domestic and KKTC → Pet → AVIH(S)/AVIH(B)	Animal in hold over 8 kgs up to 15 kgs — 850 TRY; Animal in hold over 15 kgs — 950 TRY	NON_VISIBLE	2026-09-10	matching matrix	NON	MATCH; locator also carries KKTC 1000/1100 TRY; international rows are blank
pegasus	cargo	NON_ETABLI	NON_TROUVE					NON_TROUVE	https://www.flypgs.com/en/useful-info/info-about-flights/general-rules	No unaccompanied cargo tariff found	Only on domestic and Cyprus flights	NON_VISIBLE	2026-09-10	none	NON	NON_TROUVE
philippine	cabin	OFFERED	EXACT	2500	PHP	Domestic FurPAL routes	per dog; one-way	At least 48h	https://www.philippineairlines.com/ph/en/inflight-experience/furpal.html	FurPAL fee	PHP 2,500 per dog, one-way	From 2026-02	2026-09-10	PHP2500	NON	MATCH
philippine	hold	OFFERED	MATRIX	1000–10000 domestic; 120–320 among published USD international tiers	PHP; USD; CAD and local currencies	Domestic weight; international route/piece matrix	pet+kennel; by total weight or piece	Advance arrangement; exact deadline varies	https://www.philippineairlines.com/us/en/before-you-fly/baggage-information/special-baggage/pets/checked-in-pet-fees.html	Checked-in Pet Fees → domestic and international tables	NEEDS_QUOTE — official rate tables were not exposed as faithful text by the accessible page	NON_VISIBLE	2026-09-10	PHP1000–10000; USD160–320	NON	STALE/INCOMPLETE: current international table includes USD120 and USD250 tiers; numeric proof needs browser capture
philippine	cargo	OFFERED	SUR_DEVIS			PAL Cargo; commonly >32kg	shipment	Contact PAL Cargo	https://www.philippineairlines.com/ph/en/before-you-fly/baggage-information/special-baggage/pets.html	Heavy pets/cargo referral	Contact PAL Cargo for assistance	NON_VISIBLE	2026-09-10	quote	NON	MATCH
qantas	cabin	NOT_OFFERED	SANS_OBJET			Ordinary pets			https://freight.qantas.com/en-au/pets/pet-travel-faqs	Pet travel FAQs	Pets travel through Qantas Freight	NON_VISIBLE	2026-09-10	denied	NON	MATCH
qantas	hold	NOT_OFFERED	SANS_OBJET			Not checked passenger baggage			https://freight.qantas.com/en-au/pets/pet-travel-faqs	Pet travel FAQs	Pets travel through Qantas Freight	NON_VISIBLE	2026-09-10	denied	NON	MATCH
qantas	cargo	OFFERED	SUR_DEVIS_COMPOSITE	45 ground handling excl GST plus surcharges; total not published	AUD	Domestic Q-GO Pets	shipment; weight/size/route	Book through Qantas Freight	https://freight.qantas.com/en-au/freight-planning/ground-handling-fees/domestic-fees	Domestic ground handling fees	Q-GO Pets: $45.00	Effective 2026-08-16 surcharge	2026-09-10	quote	NON	Do not publish AUD45 as total fare; calculator/quote plus charges
qatar_airways	cabin	NOT_OFFERED	SANS_OBJET			Ordinary dogs; exceptions service dogs/falcons			https://www.qatarairways.com/en-am/baggage/animals.html	Animals in cabin	Only falcons and service dogs	NON_VISIBLE	2026-09-10	denied	NON	MATCH
qatar_airways	hold	OFFERED	MATRIX	200/350 medium; 300/450 large	USD	To/from Qatar versus other routes; 32kg and 32–75kg	per animal/container	At least 48h	https://www.qatarairways.com/en-am/baggage/animals.html	Excess baggage rates for animals	Medium: USD 200 or USD 350	NON_VISIBLE	2026-09-10	USD200–450	NON	MATCH; official also publishes CAD260/455/390/590
